   NN30nlo_0112   NN30nlo_0113   NN30nlo_0114   NN30nlo_0115   NN30nlo_0116   NN30nlo_0117   NN30nlo_0118   NN30nlo_0119   NN30nlo_0120   NN30nlo_0121   NN30nlo_0122   NN30nlo_0123   NN30nlo_0124   NN30nlo_0125   NN30nlo_0126   NN30nlo_0127
     6.707e-04     6.805e-04     6.902e-04     7.001e-04     7.099e-04     7.198e-04     7.297e-04     7.396e-04     7.496e-04     7.596e-04     7.696e-04     7.797e-04     7.897e-04     7.998e-04     8.100e-04     8.201e-04
     3.563e-04     3.615e-04     3.666e-04     3.718e-04     3.770e-04     3.823e-04     3.875e-04     3.928e-04     3.980e-04     4.033e-04     4.086e-04     4.139e-04     4.192e-04     4.246e-04     4.299e-04     4.353e-04
     1.850e-04     1.877e-04     1.904e-04     1.931e-04     1.958e-04     1.985e-04     2.012e-04     2.039e-04     2.066e-04     2.093e-04     2.121e-04     2.148e-04     2.176e-04     2.203e-04     2.231e-04     2.259e-04
     9.353e-05     9.487e-05     9.622e-05     9.757e-05     9.893e-05     1.003e-04     1.017e-04     1.030e-04     1.044e-04     1.058e-04     1.071e-04     1.085e-04     1.099e-04     1.113e-04     1.127e-04     1.141e-04
     4.565e-05     4.630e-05     4.696e-05     4.762e-05     4.828e-05     4.894e-05     4.960e-05     5.027e-05     5.093e-05     5.160e-05     5.227e-05     5.294e-05     5.362e-05     5.429e-05     5.497e-05     5.565e-05
     1.541e-05     1.563e-05     1.585e-05     1.607e-05     1.629e-05     1.651e-05     1.674e-05     1.696e-05     1.719e-05     1.741e-05     1.764e-05     1.786e-05     1.809e-05     1.831e-05     1.854e-05     1.877e-05
     2.068e-06     2.098e-06     2.127e-06     2.157e-06     2.186e-06     2.216e-06     2.246e-06     2.275e-06     2.305e-06     2.335e-06     2.365e-06     2.395e-06     2.425e-06     2.455e-06     2.486e-06     2.516e-06
     2.360e+03     2.404e+03     2.448e+03     2.492e+03     2.537e+03     2.583e+03     2.629e+03     2.675e+03     2.721e+03     2.769e+03     2.816e+03     2.864e+03     2.912e+03     2.961e+03     3.010e+03     3.060e+03
     1.072e+03     1.091e+03     1.111e+03     1.131e+03     1.151e+03     1.171e+03     1.191e+03     1.212e+03     1.232e+03     1.253e+03     1.274e+03     1.295e+03     1.317e+03     1.338e+03     1.360e+03     1.382e+03
     5.142e+02     5.233e+02     5.326e+02     5.419e+02     5.513e+02     5.608e+02     5.703e+02     5.800e+02     5.897e+02     5.995e+02     6.093e+02     6.193e+02     6.293e+02     6.394e+02     6.496e+02     6.598e+02
     2.580e+02     2.625e+02     2.670e+02     2.716e+02     2.763e+02     2.810e+02     2.857e+02     2.904e+02     2.952e+02     3.000e+02     3.049e+02     3.098e+02     3.147e+02     3.196e+02     3.246e+02     3.297e+02
     1.328e+02     1.351e+02     1.375e+02     1.398e+02     1.421e+02     1.445e+02     1.469e+02     1.493e+02     1.517e+02     1.541e+02     1.566e+02     1.591e+02     1.616e+02     1.641e+02     1.666e+02     1.691e+02
     6.993e+01     7.112e+01     7.232e+01     7.353e+01     7.475e+01     7.598e+01     7.722e+01     7.846e+01     7.972e+01     8.098e+01     8.225e+01     8.353e+01     8.481e+01     8.611e+01     8.741e+01     8.873e+01
     3.756e+01     3.820e+01     3.883e+01     3.947e+01     4.012e+01     4.077e+01     4.142e+01     4.208e+01     4.274e+01     4.341e+01     4.408e+01     4.476e+01     4.544e+01     4.612e+01     4.681e+01     4.750e+01
     2.053e+01     2.087e+01     2.122e+01     2.156e+01     2.191e+01     2.226e+01     2.261e+01     2.297e+01     2.333e+01     2.369e+01     2.405e+01     2.441e+01     2.478e+01     2.514e+01     2.552e+01     2.589e+01
     1.143e+01     1.162e+01     1.181e+01     1.200e+01     1.219e+01     1.238e+01     1.258e+01     1.277e+01     1.297e+01     1.316e+01     1.336e+01     1.356e+01     1.376e+01     1.397e+01     1.417e+01     1.437e+01
     6.412e+00     6.516e+00     6.621e+00     6.727e+00     6.833e+00     6.940e+00     7.048e+00     7.156e+00     7.265e+00     7.374e+00     7.484e+00     7.595e+00     7.706e+00     7.818e+00     7.931e+00     8.044e+00
     3.628e+00     3.687e+00     3.745e+00     3.805e+00     3.864e+00     3.924e+00     3.984e+00     4.044e+00     4.105e+00     4.166e+00     4.228e+00     4.289e+00     4.352e+00     4.414e+00     4.477e+00     4.540e+00
     2.089e+00     2.122e+00     2.156e+00     2.190e+00     2.224e+00     2.258e+00     2.292e+00     2.326e+00     2.361e+00     2.396e+00     2.431e+00     2.466e+00     2.501e+00     2.537e+00     2.572e+00     2.608e+00
     1.201e+00     1.220e+00     1.239e+00     1.258e+00     1.278e+00     1.297e+00     1.317e+00     1.336e+00     1.356e+00     1.376e+00     1.396e+00     1.416e+00     1.436e+00     1.456e+00     1.476e+00     1.497e+00
     6.905e-01     7.013e-01     7.122e-01     7.231e-01     7.341e-01     7.451e-01     7.562e-01     7.674e-01     7.786e-01     7.899e-01     8.012e-01     8.125e-01     8.239e-01     8.354e-01     8.469e-01     8.585e-01
     4.026e-01     4.088e-01     4.151e-01     4.214e-01     4.278e-01     4.342e-01     4.406e-01     4.470e-01     4.535e-01     4.600e-01     4.666e-01     4.731e-01     4.797e-01     4.863e-01     4.930e-01     4.996e-01
     2.332e-01     2.368e-01     2.404e-01     2.440e-01     2.477e-01     2.514e-01     2.550e-01     2.587e-01     2.625e-01     2.662e-01     2.699e-01     2.737e-01     2.775e-01     2.813e-01     2.851e-01     2.889e-01
     1.345e-01     1.365e-01     1.386e-01     1.407e-01     1.428e-01     1.449e-01     1.470e-01     1.491e-01     1.512e-01     1.533e-01     1.555e-01     1.576e-01     1.598e-01     1.620e-01     1.641e-01     1.663e-01
     7.783e-02     7.901e-02     8.020e-02     8.139e-02     8.259e-02     8.380e-02     8.501e-02     8.622e-02     8.744e-02     8.866e-02     8.989e-02     9.112e-02     9.236e-02     9.360e-02     9.485e-02     9.610e-02
     4.482e-02     4.549e-02     4.617e-02     4.686e-02     4.754e-02     4.823e-02     4.892e-02     4.962e-02     5.031e-02     5.101e-02     5.171e-02     5.242e-02     5.312e-02     5.383e-02     5.455e-02     5.526e-02
     2.555e-02     2.594e-02     2.632e-02     2.671e-02     2.710e-02     2.749e-02     2.788e-02     2.827e-02     2.866e-02     2.906e-02     2.946e-02     2.985e-02     3.025e-02     3.065e-02     3.106e-02     3.146e-02
     1.448e-02     1.469e-02     1.491e-02     1.513e-02     1.534e-02     1.556e-02     1.578e-02     1.600e-02     1.623e-02     1.645e-02     1.667e-02     1.689e-02     1.712e-02     1.734e-02     1.757e-02     1.780e-02
     8.117e-03     8.237e-03     8.357e-03     8.479e-03     8.600e-03     8.722e-03     8.845e-03     8.968e-03     9.091e-03     9.215e-03     9.339e-03     9.463e-03     9.588e-03     9.714e-03     9.839e-03     9.965e-03
     4.466e-03     4.532e-03     4.598e-03     4.664e-03     4.730e-03     4.797e-03     4.864e-03     4.931e-03     4.998e-03     5.066e-03     5.134e-03     5.202e-03     5.270e-03     5.338e-03     5.407e-03     5.476e-03
     2.426e-03     2.461e-03     2.497e-03     2.532e-03     2.568e-03     2.604e-03     2.641e-03     2.677e-03     2.713e-03     2.750e-03     2.786e-03     2.823e-03     2.860e-03     2.897e-03     2.934e-03     2.971e-03
     1.281e-03     1.300e-03     1.318e-03     1.337e-03     1.356e-03     1.375e-03     1.394e-03     1.413e-03     1.432e-03     1.451e-03     1.470e-03     1.489e-03     1.509e-03     1.528e-03     1.547e-03     1.567e-03
     6.654e-04     6.750e-04     6.847e-04     6.944e-04     7.041e-04     7.139e-04     7.237e-04     7.335e-04     7.433e-04     7.532e-04     7.631e-04     7.731e-04     7.830e-04     7.930e-04     8.030e-04     8.130e-04
     3.357e-04     3.405e-04     3.454e-04     3.502e-04     3.551e-04     3.600e-04     3.649e-04     3.698e-04     3.748e-04     3.797e-04     3.847e-04     3.897e-04     3.947e-04     3.997e-04     4.047e-04     4.097e-04
     1.637e-04     1.661e-04     1.685e-04     1.708e-04     1.732e-04     1.756e-04     1.779e-04     1.803e-04     1.827e-04     1.851e-04     1.875e-04     1.900e-04     1.924e-04     1.948e-04     1.972e-04     1.997e-04
     7.725e-05     7.836e-05     7.946e-05     8.057e-05     8.169e-05     8.280e-05     8.392e-05     8.504e-05     8.617e-05     8.729e-05     8.842e-05     8.956e-05     9.069e-05     9.183e-05     9.297e-05     9.411e-05
     1.403e-05     1.423e-05     1.443e-05     1.463e-05     1.483e-05     1.503e-05     1.523e-05     1.544e-05     1.564e-05     1.584e-05     1.604e-05     1.625e-05     1.645e-05     1.666e-05     1.686e-05     1.707e-05
     2.007e+03     2.044e+03     2.082e+03     2.120e+03     2.158e+03     2.196e+03     2.235e+03     2.275e+03     2.314e+03     2.354e+03     2.395e+03     2.436e+03     2.477e+03     2.518e+03     2.560e+03     2.602e+03
     9.008e+02     9.172e+02     9.337e+02     9.504e+02     9.672e+02     9.841e+02     1.001e+03     1.018e+03     1.036e+03     1.053e+03     1.071e+03     1.089e+03     1.107e+03     1.125e+03     1.143e+03     1.162e+03
     4.266e+02     4.342e+02     4.418e+02     4.496e+02     4.574e+02     4.653e+02     4.732e+02     4.812e+02     4.892e+02     4.974e+02     5.056e+02     5.138e+02     5.221e+02     5.305e+02     5.390e+02     5.475e+02
     2.115e+02     2.152e+02     2.189e+02     2.227e+02     2.265e+02     2.303e+02     2.342e+02     2.381e+02     2.420e+02     2.460e+02     2.499e+02     2.539e+02     2.580e+02     2.620e+02     2.661e+02     2.703e+02
     1.077e+02     1.095e+02     1.114e+02     1.133e+02     1.152e+02     1.171e+02     1.191e+02     1.210e+02     1.230e+02     1.249e+02     1.269e+02     1.289e+02     1.310e+02     1.330e+02     1.350e+02     1.371e+02
     5.574e+01     5.669e+01     5.765e+01     5.862e+01     5.959e+01     6.057e+01     6.155e+01     6.254e+01     6.354e+01     6.455e+01     6.556e+01     6.658e+01     6.760e+01     6.864e+01     6.967e+01     7.072e+01
     2.952e+01     3.002e+01     3.052e+01     3.102e+01     3.153e+01     3.204e+01     3.256e+01     3.307e+01     3.359e+01     3.412e+01     3.465e+01     3.518e+01     3.571e+01     3.625e+01     3.679e+01     3.734e+01
     1.585e+01     1.611e+01     1.637e+01     1.664e+01     1.691e+01     1.718e+01     1.745e+01     1.773e+01     1.800e+01     1.828e+01     1.856e+01     1.884e+01     1.912e+01     1.941e+01     1.969e+01     1.998e+01
     8.641e+00     8.783e+00     8.926e+00     9.070e+00     9.215e+00     9.360e+00     9.507e+00     9.654e+00     9.802e+00     9.952e+00     1.010e+01     1.025e+01     1.040e+01     1.056e+01     1.071e+01     1.086e+01
     4.726e+00     4.803e+00     4.881e+00     4.958e+00     5.037e+00     5.115e+00     5.194e+00     5.274e+00     5.354e+00     5.435e+00     5.516e+00     5.597e+00     5.679e+00     5.761e+00     5.844e+00     5.927e+00
     2.609e+00     2.651e+00     2.693e+00     2.735e+00     2.778e+00     2.821e+00     2.864e+00     2.908e+00     2.951e+00     2.995e+00     3.039e+00     3.084e+00     3.128e+00     3.173e+00     3.218e+00     3.263e+00
     1.457e+00     1.480e+00     1.503e+00     1.527e+00     1.550e+00     1.574e+00     1.598e+00     1.622e+00     1.646e+00     1.670e+00     1.695e+00     1.719e+00     1.744e+00     1.768e+00     1.793e+00     1.818e+00
     8.051e-01     8.178e-01     8.305e-01     8.434e-01     8.563e-01     8.692e-01     8.823e-01     8.954e-01     9.085e-01     9.217e-01     9.350e-01     9.484e-01     9.618e-01     9.753e-01     9.888e-01     1.002e+00
     4.427e-01     4.496e-01     4.565e-01     4.635e-01     4.705e-01     4.776e-01     4.847e-01     4.918e-01     4.989e-01     5.061e-01     5.133e-01     5.206e-01     5.279e-01     5.352e-01     5.425e-01     5.499e-01
     2.458e-01     2.496e-01     2.535e-01     2.573e-01     2.612e-01     2.651e-01     2.690e-01     2.729e-01     2.768e-01     2.808e-01     2.847e-01     2.887e-01     2.927e-01     2.967e-01     3.008e-01     3.048e-01
     1.343e-01     1.364e-01     1.385e-01     1.405e-01     1.426e-01     1.447e-01     1.468e-01     1.490e-01     1.511e-01     1.532e-01     1.554e-01     1.575e-01     1.597e-01     1.618e-01     1.640e-01     1.662e-01
     7.258e-02     7.369e-02     7.480e-02     7.591e-02     7.703e-02     7.815e-02     7.928e-02     8.042e-02     8.156e-02     8.270e-02     8.385e-02     8.500e-02     8.615e-02     8.731e-02     8.848e-02     8.965e-02
     3.880e-02     3.939e-02     3.997e-02     4.056e-02     4.116e-02     4.175e-02     4.235e-02     4.295e-02     4.355e-02     4.416e-02     4.476e-02     4.537e-02     4.598e-02     4.660e-02     4.721e-02     4.783e-02
     2.042e-02     2.073e-02     2.104e-02     2.135e-02     2.165e-02     2.196e-02     2.228e-02     2.259e-02     2.290e-02     2.322e-02     2.353e-02     2.385e-02     2.417e-02     2.449e-02     2.481e-02     2.513e-02
     1.057e-02     1.072e-02     1.088e-02     1.104e-02     1.120e-02     1.136e-02     1.152e-02     1.168e-02     1.184e-02     1.200e-02     1.216e-02     1.232e-02     1.249e-02     1.265e-02     1.282e-02     1.298e-02
     5.368e-03     5.447e-03     5.527e-03     5.607e-03     5.687e-03     5.767e-03     5.847e-03     5.928e-03     6.009e-03     6.091e-03     6.172e-03     6.254e-03     6.336e-03     6.419e-03     6.501e-03     6.584e-03
