   NN30nlo_0112   NN30nlo_0113   NN30nlo_0114   NN30nlo_0115   NN30nlo_0116   NN30nlo_0117   NN30nlo_0118   NN30nlo_0119   NN30nlo_0120   NN30nlo_0121   NN30nlo_0122   NN30nlo_0123   NN30nlo_0124   NN30nlo_0125   NN30nlo_0126   NN30nlo_0127
     1.062e+03     1.082e+03     1.102e+03     1.122e+03     1.142e+03     1.163e+03     1.183e+03     1.204e+03     1.225e+03     1.246e+03     1.268e+03     1.289e+03     1.311e+03     1.333e+03     1.355e+03     1.377e+03
     4.452e+02     4.533e+02     4.615e+02     4.697e+02     4.780e+02     4.863e+02     4.948e+02     5.033e+02     5.118e+02     5.205e+02     5.292e+02     5.380e+02     5.469e+02     5.558e+02     5.648e+02     5.739e+02
     1.955e+02     1.990e+02     2.025e+02     2.060e+02     2.096e+02     2.132e+02     2.168e+02     2.205e+02     2.242e+02     2.279e+02     2.316e+02     2.354e+02     2.392e+02     2.430e+02     2.469e+02     2.507e+02
     8.815e+01     8.968e+01     9.123e+01     9.280e+01     9.437e+01     9.596e+01     9.755e+01     9.916e+01     1.008e+02     1.024e+02     1.041e+02     1.057e+02     1.074e+02     1.091e+02     1.108e+02     1.125e+02
     4.031e+01     4.101e+01     4.170e+01     4.241e+01     4.311e+01     4.383e+01     4.454e+01     4.527e+01     4.600e+01     4.673e+01     4.747e+01     4.821e+01     4.896e+01     4.971e+01     5.047e+01     5.124e+01
     1.826e+01     1.857e+01     1.888e+01     1.919e+01     1.950e+01     1.982e+01     2.014e+01     2.046e+01     2.078e+01     2.111e+01     2.144e+01     2.177e+01     2.210e+01     2.243e+01     2.277e+01     2.311e+01
     8.270e+00     8.408e+00     8.546e+00     8.685e+00     8.825e+00     8.966e+00     9.108e+00     9.251e+00     9.395e+00     9.540e+00     9.685e+00     9.831e+00     9.979e+00     1.013e+01     1.028e+01     1.043e+01
     3.674e+00     3.734e+00     3.795e+00     3.855e+00     3.916e+00     3.978e+00     4.040e+00     4.102e+00     4.165e+00     4.228e+00     4.291e+00     4.354e+00     4.418e+00     4.483e+00     4.548e+00     4.613e+00
     1.618e+00     1.644e+00     1.670e+00     1.696e+00     1.723e+00     1.749e+00     1.776e+00     1.803e+00     1.830e+00     1.857e+00     1.885e+00     1.912e+00     1.940e+00     1.968e+00     1.996e+00     2.024e+00
     6.850e-01     6.958e-01     7.067e-01     7.177e-01     7.287e-01     7.398e-01     7.509e-01     7.621e-01     7.734e-01     7.847e-01     7.961e-01     8.075e-01     8.190e-01     8.306e-01     8.421e-01     8.538e-01
     2.811e-01     2.855e-01     2.899e-01     2.943e-01     2.988e-01     3.032e-01     3.077e-01     3.122e-01     3.168e-01     3.213e-01     3.259e-01     3.305e-01     3.351e-01     3.397e-01     3.444e-01     3.491e-01
     1.134e-01     1.151e-01     1.169e-01     1.186e-01     1.204e-01     1.222e-01     1.240e-01     1.258e-01     1.276e-01     1.294e-01     1.312e-01     1.330e-01     1.348e-01     1.367e-01     1.385e-01     1.404e-01
     4.236e-02     4.300e-02     4.364e-02     4.429e-02     4.493e-02     4.558e-02     4.624e-02     4.689e-02     4.755e-02     4.821e-02     4.887e-02     4.954e-02     5.021e-02     5.088e-02     5.155e-02     5.222e-02
     1.507e-02     1.529e-02     1.552e-02     1.574e-02     1.597e-02     1.619e-02     1.642e-02     1.665e-02     1.688e-02     1.711e-02     1.734e-02     1.758e-02     1.781e-02     1.804e-02     1.828e-02     1.851e-02
     5.053e-03     5.126e-03     5.200e-03     5.274e-03     5.348e-03     5.423e-03     5.497e-03     5.572e-03     5.648e-03     5.723e-03     5.799e-03     5.875e-03     5.951e-03     6.027e-03     6.104e-03     6.181e-03
     1.559e-03     1.581e-03     1.603e-03     1.626e-03     1.648e-03     1.670e-03     1.693e-03     1.716e-03     1.738e-03     1.761e-03     1.784e-03     1.807e-03     1.830e-03     1.853e-03     1.876e-03     1.899e-03
     4.280e-04     4.340e-04     4.400e-04     4.460e-04     4.520e-04     4.580e-04     4.641e-04     4.701e-04     4.762e-04     4.823e-04     4.884e-04     4.945e-04     5.006e-04     5.068e-04     5.129e-04     5.191e-04
     1.008e-04     1.022e-04     1.036e-04     1.049e-04     1.063e-04     1.077e-04     1.091e-04     1.105e-04     1.118e-04     1.132e-04     1.146e-04     1.160e-04     1.174e-04     1.188e-04     1.202e-04     1.216e-04
     4.940e-06     5.004e-06     5.067e-06     5.131e-06     5.194e-06     5.258e-06     5.322e-06     5.386e-06     5.449e-06     5.513e-06     5.577e-06     5.641e-06     5.705e-06     5.769e-06     5.833e-06     5.897e-06
