MSTWnlo_0112  MSTWnlo_0113  MSTWnlo_0114  MSTWnlo_0115  MSTWnlo_0116  MSTWnlo_0117  MSTWnlo_0118  MSTWnlo_0119  MSTWnlo_0120  MSTWnlo_0121  MSTWnlo_0122  MSTWnlo_0123  MSTWnlo_0124  MSTWnlo_0125  MSTWnlo_0126  MSTWnlo_0127
3.853317e-03  3.887271e-03  3.923538e-03  3.962984e-03  4.006666e-03  4.052010e-03  4.098003e-03  4.143625e-03  4.194467e-03  4.243139e-03  4.298831e-03  4.360951e-03  4.432945e-03  4.524818e-03  4.697576e-03  4.770090e-03
2.170363e-03  2.187582e-03  2.206034e-03  2.226307e-03  2.249060e-03  2.272805e-03  2.297024e-03  2.321181e-03  2.348349e-03  2.374177e-03  2.404366e-03  2.438656e-03  2.479026e-03  2.531628e-03  2.635191e-03  2.674915e-03
1.202229e-03  1.210657e-03  1.219747e-03  1.229772e-03  1.241277e-03  1.253395e-03  1.265782e-03  1.278229e-03  1.292376e-03  1.305716e-03  1.321714e-03  1.340260e-03  1.362468e-03  1.392023e-03  1.453122e-03  1.474406e-03
6.570538e-04  6.610017e-04  6.653581e-04  6.701305e-04  6.757521e-04  6.817613e-04  6.879187e-04  6.942128e-04  7.013905e-04  7.081426e-04  7.164448e-04  7.262758e-04  7.383149e-04  7.546630e-04  7.901524e-04  8.013848e-04
3.489207e-04  3.506296e-04  3.525613e-04  3.547083e-04  3.573010e-04  3.601111e-04  3.630249e-04  3.660550e-04  3.695429e-04  3.728185e-04  3.769469e-04  3.819761e-04  3.882697e-04  3.970590e-04  4.170609e-04  4.227664e-04
1.810947e-04  1.817642e-04  1.825450e-04  1.834502e-04  1.845788e-04  1.858321e-04  1.871406e-04  1.885288e-04  1.901586e-04  1.916889e-04  1.936797e-04  1.961701e-04  1.993680e-04  2.039844e-04  2.149986e-04  2.178096e-04
9.145597e-05  9.167741e-05  9.195744e-05  9.229099e-05  9.274538e-05  9.326462e-05  9.381460e-05  9.440939e-05  9.513915e-05  9.581049e-05  9.673055e-05  9.792300e-05  9.949558e-05  1.018427e-04  1.077257e-04  1.090677e-04
4.454582e-05  4.459170e-05  4.466916e-05  4.476732e-05  4.492454e-05  4.511629e-05  4.532427e-05  4.556144e-05  4.586394e-05  4.613857e-05  4.653821e-05  4.708497e-05  4.782525e-05  4.897031e-05  5.199642e-05  5.260602e-05
1.493745e-05  1.492143e-05  1.491681e-05  1.491998e-05  1.494066e-05  1.497491e-05  1.501512e-05  1.506657e-05  1.514120e-05  1.520805e-05  1.531849e-05  1.548054e-05  1.571403e-05  1.609599e-05  1.718153e-05  1.736254e-05
1.938563e-06  1.929078e-06  1.921031e-06  1.913966e-06  1.909167e-06  1.906257e-06  1.904221e-06  1.904312e-06  1.907298e-06  1.909671e-06  1.917963e-06  1.933881e-06  1.959847e-06  2.007743e-06  2.163436e-06  2.180925e-06
2.323152e+03  2.366051e+03  2.408938e+03  2.451422e+03  2.494103e+03  2.536654e+03  2.578995e+03  2.620435e+03  2.662585e+03  2.703908e+03  2.745447e+03  2.786698e+03  2.827753e+03  2.868248e+03  2.906663e+03  2.946508e+03
1.049996e+03  1.069525e+03  1.089052e+03  1.108447e+03  1.127944e+03  1.147357e+03  1.166650e+03  1.185494e+03  1.204771e+03  1.223617e+03  1.242542e+03  1.261360e+03  1.280107e+03  1.298663e+03  1.316578e+03  1.334967e+03
5.021274e+02  5.114836e+02  5.208625e+02  5.302016e+02  5.395894e+02  5.489341e+02  5.582221e+02  5.672711e+02  5.765780e+02  5.856640e+02  5.947735e+02  6.038439e+02  6.128997e+02  6.218969e+02  6.307369e+02  6.397307e+02
2.512523e+02  2.559309e+02  2.606288e+02  2.653254e+02  2.700436e+02  2.747412e+02  2.794094e+02  2.839511e+02  2.886447e+02  2.932216e+02  2.978061e+02  3.023755e+02  3.069511e+02  3.115166e+02  3.160839e+02  3.206843e+02
1.291989e+02  1.315931e+02  1.339999e+02  1.364165e+02  1.388452e+02  1.412646e+02  1.436658e+02  1.460021e+02  1.484261e+02  1.507885e+02  1.531553e+02  1.555160e+02  1.578879e+02  1.602672e+02  1.626953e+02  1.651083e+02
6.789832e+01  6.914665e+01  7.040218e+01  7.166796e+01  7.294262e+01  7.421304e+01  7.547234e+01  7.669679e+01  7.797356e+01  7.921739e+01  8.046418e+01  8.170928e+01  8.296436e+01  8.423158e+01  8.555332e+01  8.684606e+01
3.644666e+01  3.710890e+01  3.777553e+01  3.845015e+01  3.913134e+01  3.981048e+01  4.048332e+01  4.113676e+01  4.182182e+01  4.248839e+01  4.315769e+01  4.382719e+01  4.450450e+01  4.519306e+01  4.592804e+01  4.663336e+01
1.992651e+01  2.028282e+01  2.064216e+01  2.100702e+01  2.137674e+01  2.174537e+01  2.211062e+01  2.246496e+01  2.283842e+01  2.320108e+01  2.356639e+01  2.393272e+01  2.430481e+01  2.468619e+01  2.510403e+01  2.549507e+01
1.109827e+01  1.129300e+01  1.148980e+01  1.169025e+01  1.189415e+01  1.209744e+01  1.229908e+01  1.249439e+01  1.270132e+01  1.290195e+01  1.310474e+01  1.330867e+01  1.351664e+01  1.373187e+01  1.397412e+01  1.419444e+01
6.227810e+00  6.334839e+00  6.443214e+00  6.554003e+00  6.667072e+00  6.779877e+00  6.891897e+00  7.000296e+00  7.115636e+00  7.227429e+00  7.340790e+00  7.455168e+00  7.572374e+00  7.694955e+00  7.837144e+00  7.962139e+00
3.524873e+00  3.583932e+00  3.643822e+00  3.705297e+00  3.768254e+00  3.831121e+00  3.893589e+00  3.954059e+00  4.018606e+00  4.081184e+00  4.144851e+00  4.209366e+00  4.275859e+00  4.346126e+00  4.430384e+00  4.501660e+00
2.030366e+00  2.063460e+00  2.097076e+00  2.131717e+00  2.167339e+00  2.202950e+00  2.238351e+00  2.272654e+00  2.309382e+00  2.344967e+00  2.381328e+00  2.418375e+00  2.456802e+00  2.497848e+00  2.548803e+00  2.590119e+00
1.168050e+00  1.186487e+00  1.205259e+00  1.224683e+00  1.244729e+00  1.264818e+00  1.284797e+00  1.304174e+00  1.324977e+00  1.345124e+00  1.365827e+00  1.387036e+00  1.409194e+00  1.433155e+00  1.464003e+00  1.487838e+00
6.718264e-01  6.820455e-01  6.924706e-01  7.033167e-01  7.145440e-01  7.258305e-01  7.370609e-01  7.479532e-01  7.596839e-01  7.710447e-01  7.828045e-01  7.949108e-01  8.076584e-01  8.216423e-01  8.403509e-01  8.540487e-01
3.920757e-01  3.978149e-01  4.036778e-01  4.098070e-01  4.161840e-01  4.226086e-01  4.290037e-01  4.352087e-01  4.419229e-01  4.484133e-01  4.551886e-01  4.622088e-01  4.696587e-01  4.779520e-01  4.894907e-01  4.974790e-01
2.273693e-01  2.305527e-01  2.338126e-01  2.372308e-01  2.408099e-01  2.444228e-01  2.480223e-01  2.515191e-01  2.553208e-01  2.589853e-01  2.628445e-01  2.668766e-01  2.711924e-01  2.760671e-01  2.831334e-01  2.877412e-01
1.312099e-01  1.329567e-01  1.347538e-01  1.366424e-01  1.386312e-01  1.406441e-01  1.426546e-01  1.446125e-01  1.467457e-01  1.488004e-01  1.509829e-01  1.532843e-01  1.557728e-01  1.586272e-01  1.629459e-01  1.655858e-01
7.597276e-02  7.692867e-02  7.791619e-02  7.895764e-02  8.006100e-02  8.118152e-02  8.230298e-02  8.339823e-02  8.459479e-02  8.574629e-02  8.698132e-02  8.829737e-02  8.973433e-02  9.141311e-02  9.406458e-02  9.557837e-02
4.379599e-02  4.431361e-02  4.484953e-02  4.541728e-02  4.602374e-02  4.664185e-02  4.726090e-02  4.786736e-02  4.853338e-02  4.917263e-02  4.986626e-02  5.061364e-02  5.143802e-02  5.241971e-02  5.403728e-02  5.489775e-02
2.499004e-02  2.526494e-02  2.555090e-02  2.585487e-02  2.618314e-02  2.651839e-02  2.685490e-02  2.718615e-02  2.755140e-02  2.790135e-02  2.828613e-02  2.870546e-02  2.917410e-02  2.974292e-02  3.072333e-02  3.120633e-02
1.417944e-02  1.432235e-02  1.447235e-02  1.463241e-02  1.480664e-02  1.498530e-02  1.516546e-02  1.534349e-02  1.554053e-02  1.572913e-02  1.593941e-02  1.617123e-02  1.643431e-02  1.676029e-02  1.734792e-02  1.761501e-02
7.955547e-03  8.028328e-03  8.105371e-03  8.188187e-03  8.278901e-03  8.372715e-03  8.467718e-03  8.561903e-03  8.666939e-03  8.767301e-03  8.880911e-03  9.007722e-03  9.154138e-03  9.339881e-03  9.689957e-03  9.836266e-03
