    PDF_01    PDF_02    PDF_03    PDF_04    PDF_05    PDF_06    PDF_07    PDF_08    PDF_09    PDF_10    PDF_11    PDF_12    PDF_13    PDF_14    PDF_15    PDF_16    PDF_17    PDF_18    PDF_19    PDF_20
  1.10e-01  6.59e-02  5.49e-02  2.43e-03  2.09e-02  7.91e-02  9.10e-02  5.52e-02  3.41e-01  8.17e-02  4.90e-01  2.27e-01  1.50e-01  8.82e-02  1.57e-01  3.11e-02  4.30e-03  1.03e-01  3.39e-01  3.55e-02
  5.51e-02  4.11e-02  3.30e-02  2.25e-03  1.35e-02  5.12e-02  5.39e-02  2.71e-02  1.78e-01  5.00e-02  2.58e-01  1.19e-01  7.80e-02  4.89e-02  7.30e-02  1.71e-02  8.92e-04  5.60e-02  1.98e-01  2.06e-02
  2.78e-02  2.50e-02  1.96e-02  1.70e-03  8.42e-03  3.20e-02  3.13e-02  1.26e-02  9.35e-02  2.99e-02  1.36e-01  6.24e-02  4.08e-02  2.88e-02  3.34e-02  9.61e-03  1.73e-04  3.06e-02  1.13e-01  1.20e-02
  1.40e-02  1.49e-02  1.14e-02  1.17e-03  5.14e-03  1.95e-02  1.78e-02  5.33e-03  4.93e-02  1.73e-02  7.18e-02  3.25e-02  2.11e-02  1.76e-02  1.48e-02  5.38e-03  4.28e-04  1.66e-02  6.36e-02  6.97e-03
  7.02e-03  8.72e-03  6.56e-03  7.79e-04  3.08e-03  1.16e-02  9.89e-03  1.96e-03  2.58e-02  9.69e-03  3.74e-02  1.67e-02  1.07e-02  1.10e-02  6.20e-03  2.97e-03  4.45e-04  8.96e-03  3.51e-02  3.99e-03
  3.49e-03  4.98e-03  3.70e-03  5.00e-04  1.80e-03  6.74e-03  5.37e-03  4.51e-04  1.35e-02  5.24e-03  1.94e-02  8.48e-03  5.41e-03  6.77e-03  2.46e-03  1.63e-03  3.36e-04  4.80e-03  1.92e-02  2.25e-03
  1.73e-03  2.81e-03  2.07e-03  3.05e-04  1.03e-03  3.87e-03  2.89e-03  1.14e-04  7.03e-03  2.73e-03  9.95e-03  4.23e-03  2.68e-03  4.10e-03  8.74e-04  8.86e-04  2.31e-04  2.54e-03  1.04e-02  1.25e-03
  8.42e-04  1.53e-03  1.12e-03  1.74e-04  5.70e-04  2.15e-03  1.50e-03  2.60e-04  3.59e-03  1.35e-03  5.00e-03  2.05e-03  1.29e-03  2.39e-03  2.53e-04  4.65e-04  1.48e-04  1.30e-03  5.50e-03  6.63e-04
  4.02e-04  8.19e-04  5.96e-04  9.70e-05  3.10e-04  1.16e-03  7.54e-04  2.46e-04  1.79e-03  6.32e-04  2.44e-03  9.54e-04  5.98e-04  1.33e-03  3.66e-05  2.34e-04  8.93e-05  6.36e-04  2.84e-03  3.36e-04
  1.89e-04  4.29e-04  3.10e-04  5.22e-05  1.64e-04  6.13e-04  3.71e-04  1.82e-04  8.84e-04  2.80e-04  1.17e-03  4.32e-04  2.72e-04  7.11e-04  2.13e-05  1.16e-04  5.09e-05  3.01e-04  1.45e-03  1.63e-04
  8.51e-05  2.14e-04  1.54e-04  2.74e-05  8.28e-05  3.09e-04  1.74e-04  1.21e-04  4.20e-04  1.12e-04  5.45e-04  1.85e-04  1.17e-04  3.55e-04  2.47e-05  5.36e-05  2.59e-05  1.33e-04  7.10e-04  7.26e-05
  3.72e-05  1.04e-04  7.41e-05  1.38e-05  4.04e-05  1.51e-04  7.94e-05  7.17e-05  1.93e-04  4.01e-05  2.43e-04  7.41e-05  4.81e-05  1.67e-04  1.69e-05  2.39e-05  1.30e-05  5.38e-05  3.39e-04  2.98e-05
  1.56e-05  4.79e-05  3.41e-05  6.43e-06  1.88e-05  7.00e-05  3.44e-05  3.96e-05  8.52e-05  1.17e-05  1.05e-04  2.76e-05  1.86e-05  7.25e-05  8.86e-06  1.01e-05  5.93e-06  1.92e-05  1.55e-04  1.07e-05
  6.30e-06  2.11e-05  1.50e-05  2.89e-06  8.36e-06  3.10e-05  1.43e-05  2.03e-05  3.60e-05  2.17e-06  4.32e-05  9.39e-06  6.76e-06  2.91e-05  3.91e-06  3.95e-06  2.50e-06  5.73e-06  6.81e-05  3.26e-06
  2.38e-06  8.78e-06  6.20e-06  1.21e-06  3.47e-06  1.29e-05  5.57e-06  9.71e-06  1.43e-05  3.76e-07  1.66e-05  2.68e-06  2.19e-06  1.04e-05  1.50e-06  1.42e-06  9.54e-07  1.04e-06  2.80e-05  6.36e-07
  8.43e-07  3.43e-06  2.41e-06  4.70e-07  1.36e-06  5.02e-06  2.05e-06  4.31e-06  5.31e-06  6.39e-07  6.04e-06  5.78e-07  6.12e-07  3.26e-06  4.74e-07  4.67e-07  3.27e-07  1.99e-07  1.08e-05  7.75e-08
  2.72e-07  1.21e-06  8.48e-07  1.65e-07  4.81e-07  1.77e-06  6.82e-07  1.73e-06  1.81e-06  4.08e-07  2.01e-06  4.37e-08  1.33e-07  8.06e-07  1.02e-07  1.32e-07  9.54e-08  3.23e-07  3.83e-06  1.62e-07
  7.98e-08  3.89e-07  2.70e-07  5.18e-08  1.53e-07  5.65e-07  2.08e-07  6.27e-07  5.55e-07  1.87e-07  6.01e-07  3.99e-08  1.25e-08  1.32e-07  7.88e-09  3.10e-08  2.31e-08  1.98e-07  1.22e-06  1.02e-07
  5.75e-09  3.18e-08  2.19e-08  4.10e-09  1.25e-08  4.58e-08  1.60e-08  5.99e-08  4.37e-08  2.12e-08  4.60e-08  8.89e-09  2.27e-09  4.24e-09  2.91e-09  1.49e-09  7.45e-10  2.76e-08  9.86e-08  1.43e-08
  2.72e+00  7.51e-01  6.08e-01  1.61e-01  1.93e-01  7.72e-01  8.18e-01  7.16e-01  7.52e+00  1.30e+00  9.74e+00  4.65e+00  2.99e+00  1.71e+00  4.74e+00  6.36e-01  3.13e-01  2.05e+00  7.63e+00  4.60e-01
  1.18e+00  5.31e-01  4.11e-01  3.63e-02  7.23e-03  2.59e-02  5.97e-01  3.37e-01  3.17e+00  7.75e-01  4.54e+00  2.10e+00  1.37e+00  7.47e-01  1.97e+00  3.03e-01  1.13e-01  9.70e-01  4.10e+00  2.50e-01
  5.24e-01  3.27e-01  2.46e-01  4.82e-03  4.02e-02  1.56e-01  3.62e-01  1.36e-01  1.39e+00  4.42e-01  2.16e+00  9.75e-01  6.36e-01  3.80e-01  8.32e-01  1.53e-01  4.17e-02  4.67e-01  2.12e+00  1.42e-01
  2.37e-01  1.89e-01  1.39e-01  2.81e-03  3.64e-02  1.36e-01  2.02e-01  4.44e-02  6.23e-01  2.43e-01  1.03e+00  4.53e-01  2.95e-01  2.15e-01  3.49e-01  7.86e-02  1.57e-02  2.27e-01  1.06e+00  7.92e-02
  1.09e-01  1.05e-01  7.70e-02  4.92e-03  2.51e-02  9.26e-02  1.08e-01  6.74e-03  2.86e-01  1.29e-01  4.92e-01  2.12e-01  1.37e-01  1.31e-01  1.44e-01  4.09e-02  5.41e-03  1.12e-01  5.22e-01  4.38e-02
  4.90e-02  5.64e-02  4.09e-02  3.90e-03  1.52e-02  5.66e-02  5.50e-02  5.55e-03  1.31e-01  6.37e-02  2.30e-01  9.57e-02  6.16e-02  7.85e-02  5.59e-02  2.08e-02  1.21e-03  5.40e-02  2.48e-01  2.35e-02
  2.20e-02  2.95e-02  2.11e-02  2.36e-03  8.76e-03  3.25e-02  2.70e-02  7.37e-03  6.11e-02  3.00e-02  1.08e-01  4.30e-02  2.75e-02  4.58e-02  2.07e-02  1.05e-02  1.25e-04  2.59e-02  1.17e-01  1.22e-02
  9.76e-03  1.48e-02  1.06e-02  1.33e-03  4.73e-03  1.76e-02  1.27e-02  6.09e-03  2.83e-02  1.31e-02  4.90e-02  1.86e-02  1.18e-02  2.52e-02  7.08e-03  5.04e-03  3.81e-04  1.19e-02  5.38e-02  5.93e-03
  4.28e-03  7.28e-03  5.20e-03  7.17e-04  2.45e-03  9.15e-03  5.81e-03  4.11e-03  1.31e-02  5.34e-03  2.19e-02  7.75e-03  4.95e-03  1.31e-02  2.19e-03  2.34e-03  2.96e-04  5.25e-03  2.44e-02  2.74e-03
  1.75e-03  3.39e-03  2.42e-03  3.66e-04  1.21e-03  4.48e-03  2.50e-03  2.43e-03  5.89e-03  1.92e-03  9.44e-03  3.06e-03  1.96e-03  6.24e-03  5.82e-04  1.02e-03  1.78e-04  2.13e-03  1.07e-02  1.16e-03
  7.00e-04  1.51e-03  1.08e-03  1.81e-04  5.64e-04  2.08e-03  1.03e-03  1.32e-03  2.58e-03  5.83e-04  3.93e-03  1.13e-03  7.45e-04  2.75e-03  1.20e-04  4.20e-04  9.28e-05  7.78e-04  4.58e-03  4.40e-04
  2.75e-04  6.57e-04  4.72e-04  8.32e-05  2.54e-04  9.33e-04  4.18e-04  6.73e-04  1.11e-03  1.33e-04  1.59e-03  3.97e-04  2.74e-04  1.13e-03  1.26e-05  1.66e-04  4.31e-05  2.52e-04  1.92e-03  1.49e-04
  9.85e-05  2.61e-04  1.88e-04  3.43e-05  1.04e-04  3.80e-04  1.53e-04  3.10e-04  4.37e-04  2.17e-06  5.90e-04  1.19e-04  8.84e-05  4.05e-04  1.74e-06  5.83e-05  1.68e-05  5.82e-05  7.46e-04  3.72e-05
  3.33e-05  9.73e-05  6.96e-05  1.32e-05  3.95e-05  1.44e-04  5.28e-05  1.32e-04  1.63e-04  1.85e-05  2.08e-04  3.03e-05  2.60e-05  1.28e-04  7.28e-08  1.85e-05  5.58e-06  3.27e-06  2.78e-04  3.66e-06
  1.04e-05  3.35e-05  2.39e-05  4.59e-06  1.38e-05  5.04e-05  1.68e-05  5.16e-05  5.61e-05  1.32e-05  6.80e-05  5.55e-06  6.73e-06  3.30e-05  1.31e-06  5.22e-06  1.47e-06  6.38e-06  9.69e-05  2.90e-06
  2.90e-06  1.03e-05  7.32e-06  1.44e-06  4.27e-06  1.56e-05  4.87e-06  1.80e-05  1.73e-05  6.13e-06  1.98e-05  8.61e-08  1.24e-06  6.02e-06  1.07e-06  1.21e-06  2.65e-07  4.78e-06  3.01e-05  2.45e-06
  6.89e-07  2.73e-06  1.93e-06  3.78e-07  1.14e-06  4.16e-06  1.23e-06  5.37e-06  4.56e-06  2.17e-06  4.97e-06  4.20e-07  9.27e-08  2.76e-07  5.32e-07  2.13e-07  4.84e-09  2.15e-06  8.15e-06  1.14e-06
  1.30e-07  5.89e-07  4.14e-07  7.83e-08  2.47e-07  8.95e-07  2.61e-07  1.31e-06  9.82e-07  5.72e-07  1.01e-06  1.93e-07  3.96e-08  2.43e-07  1.75e-07  2.22e-08  1.28e-08  6.84e-07  1.78e-06  3.68e-07
  4.01e-09  2.46e-08  1.66e-08  3.03e-09  1.02e-08  3.59e-08  1.11e-08  5.90e-08  4.03e-08  2.61e-08  3.80e-08  1.29e-08  4.82e-09  2.31e-08  9.63e-09  3.22e-10  1.47e-09  3.79e-08  7.12e-08  2.06e-08
